time_ps,mem_init,accepted,x_hex,y_hex,h_hex,x,y,err,h,time_ns
950,1,1,3ccccccd,3eaa3776,3ccccccd,0.02500000037252903,0.3324543833732605,nan,0.02500000037252903,0.95
1900,1,1,3d4ccccd,3e13ff34,3ccccccd,0.05000000074505806,0.14452821016311646,nan,0.02500000037252903,1.9
2850,1,1,3d99999a,3dd51f0a,3ccccccd,0.07500000298023224,0.10406310856342316,nan,0.02500000037252903,2.85
3800,1,1,3dcccccd,3ddf199f,3ccccccd,0.10000000149011612,0.10893558710813522,nan,0.02500000037252903,3.8
4750,1,1,3e000000,3e02d030,3ccccccd,0.125,0.1277472972869873,nan,0.02500000037252903,4.75
5700,1,1,3e19999a,3e1a7707,3ccccccd,0.15000000596046448,0.15084467828273773,nan,0.02500000037252903,5.7
6650,1,1,3e333334,3e337748,3ccccccd,0.17500001192092896,0.17525970935821533,nan,0.02500000037252903,6.65
7600,1,1,3e4cccce,3e4ce1bc,3ccccccd,0.20000001788139343,0.20007985830307007,nan,0.02500000037252903,7.6
8550,1,1,3e666668,3e666cd7,3ccccccd,0.2250000238418579,0.22502456605434418,nan,0.02500000037252903,8.55
9500,1,1,3e800001,3e8000fe,3ccccccd,0.2500000298023224,0.2500075697898865,nan,0.02500000037252903,9.5
10450,1,1,3e8cccce,3e8ccd1c,3ccccccd,0.27500003576278687,0.2750023603439331,nan,0.02500000037252903,10.45
11400,1,1,3e99999b,3e9999b2,3ccccccd,0.30000004172325134,0.30000072717666626,nan,0.02500000037252903,11.4
12350,1,1,3ea66668,3ea6666f,3ccccccd,0.3250000476837158,0.32500025629997253,nan,0.02500000037252903,12.35
13300,1,1,3eb33335,3eb33337,3ccccccd,0.3500000536441803,0.3500001132488251,nan,0.02500000037252903,13.3
14250,1,1,3ec00002,3ec00002,3ccccccd,0.3750000596046448,0.3750000596046448,nan,0.02500000037252903,14.25
15200,1,1,3ecccccf,3ecccccf,3ccccccd,0.40000006556510925,0.40000006556510925,nan,0.02500000037252903,15.2
16150,1,1,3ed9999c,3ed9999c,3ccccccd,0.42500007152557373,0.42500007152557373,nan,0.02500000037252903,16.15
17100,1,1,3ee66669,3ee66669,3ccccccd,0.4500000774860382,0.4500000774860382,nan,0.02500000037252903,17.1
18050,1,1,3ef33336,3ef33336,3ccccccd,0.4750000834465027,0.4750000834465027,nan,0.02500000037252903,18.05
19000,1,1,3f000001,3f000001,3ccccccd,0.5000000596046448,0.5000000596046448,nan,0.02500000037252903,19.0
19950,1,1,3f066667,3f066667,3ccccccd,0.5250000357627869,0.5250000357627869,nan,0.02500000037252903,19.95
