x,y_exact
0.00000000000000000e+00,1.00000000000000000e+00
1.00100100100100099e-03,9.52182817612808208e-01
2.00200200200200198e-03,9.06748850254939676e-01
3.00300300300300298e-03,8.63581753698039356e-01
4.00400400400400397e-03,8.22570863427628196e-01
5.00500500500500496e-03,7.83610917369789717e-01
6.00600600600600595e-03,7.46601792153835486e-01
7.00700700700700695e-03,7.11448252250148849e-01
8.00800800800800794e-03,6.78059711354663364e-01
9.00900900900900893e-03,6.46350005422116403e-01
1.00100100100100099e-02,6.16237176779408813e-01
1.10110110110110109e-02,5.87643268778156758e-01
1.20120120120120119e-02,5.60494130471933527e-01
1.30130130130130129e-02,5.34719230828813674e-01
1.40140140140140139e-02,5.10251482013722502e-01
1.50150150150150149e-02,4.87027071297821246e-01
1.60160160160160159e-02,4.64985301173770238e-01
1.70170170170170151e-02,4.44068437276274208e-01
1.80180180180180179e-02,4.24221563726870532e-01
1.90190190190190206e-02,4.05392445540522617e-01
2.00200200200200198e-02,3.87531397749272422e-01
2.10210210210210191e-02,3.70591160915039519e-01
2.20220220220220218e-02,3.54526782719658040e-01
2.30230230230230246e-02,3.39295505335474645e-01
2.40240240240240238e-02,3.24856658294307488e-01
2.50250250250250231e-02,3.11171556586348652e-01
2.60260260260260258e-02,2.98203403733693695e-01
2.70270270270270285e-02,2.85917199595644322e-01
2.80280280280280278e-02,2.74279652674789709e-01
2.90290290290290270e-02,2.63259096704144657e-01
3.00300300300300298e-02,2.52825411306353054e-01
3.10310310310310325e-02,2.42949946526164168e-01
3.20320320320320318e-02,2.33605451047096874e-01
3.30330330330330310e-02,2.24766003912435425e-01
3.40340340340340303e-02,2.16406949579482699e-01
3.50350350350350365e-02,2.08504836144346561e-01
3.60360360360360357e-02,2.01037356582479898e-01
3.70370370370370350e-02,1.93983292857750650e-01
3.80380380380380412e-02,1.87322462760005776e-01
3.90390390390390404e-02,1.81035669337928945e-01
4.00400400400400397e-02,1.75104652800493255e-01
4.10410410410410390e-02,1.69512044766499281e-01
4.20420420420420382e-02,1.64241324747565670e-01
4.30430430430430444e-02,1.59276778755542747e-01
4.40440440440440437e-02,1.54603459930636233e-01
4.50450450450450429e-02,1.50207151091594104e-01
4.60460460460460491e-02,1.46074329114126100e-01
4.70470470470470484e-02,1.42192131048303499e-01
4.80480480480480476e-02,1.38548321890046150e-01
4.90490490490490469e-02,1.35131263925946821e-01
5.00500500500500461e-02,1.31929887574625621e-01
5.10510510510510523e-02,1.28933663651556452e-01
5.20520520520520516e-02,1.26132576987874417e-01
5.30530530530530509e-02,1.23517101337064852e-01
5.40540540540540571e-02,1.21078175506662500e-01
5.50550550550550563e-02,1.18807180655157552e-01
5.60560560560560556e-02,1.16695918697225648e-01
5.70570570570570548e-02,1.14736591763175216e-01
5.80580580580580541e-02,1.12921782661147302e-01
5.90590590590590603e-02,1.11244436293115395e-01
6.00600600600600595e-02,1.09697841978122212e-01
6.10610610610610588e-02,1.08275616638464134e-01
6.20620620620620650e-02,1.06971688806695442e-01
6.30630630630630573e-02,1.05780283413381665e-01
6.40640640640640635e-02,1.04695907317486958e-01
6.50650650650650697e-02,1.03713335543142049e-01
6.60660660660660620e-02,1.02827598188307834e-01
6.70670670670670682e-02,1.02033967972534279e-01
6.80680680680680605e-02,1.01327948392615413e-01
6.90690690690690667e-02,1.00705262456463329e-01
7.00700700700700729e-02,1.00161841966974183e-01
7.10710710710710653e-02,9.96938173290364549e-02
7.20720720720720714e-02,9.92975078541423889e-02
7.30730730730730776e-02,9.89694125383108192e-02
7.40740740740740700e-02,9.87062012902149566e-02
7.50750750750750762e-02,9.85047065875370859e-02
7.60760760760760824e-02,9.83619155406449397e-02
7.70770770770770747e-02,9.82749623437047942e-02
7.80780780780780809e-02,9.82411210943176932e-02
7.90790790790790732e-02,9.82577989636878868e-02
8.00800800800800794e-02,9.83225297002112697e-02
8.10810810810810856e-02,9.84329674502068402e-02
8.20820820820820779e-02,9.85868808803087859e-02
8.30830830830830841e-02,9.87821475867927262e-02
8.40840840840840764e-02,9.90167487778285671e-02
8.50850850850850826e-02,9.92887642153359451e-02
8.60860860860860888e-02,9.95963674037693147e-02
8.70870870870870811e-02,9.99378210137775863e-02
8.80880880880880873e-02,1.00311472529272541e-01
8.90890890890890935e-02,1.00715750106999416e-01
9.00900900900900858e-02,1.01149158638235717e-01
9.10910910910910920e-02,1.01610276002750757e-01
9.20920920920920982e-02,1.02097749505640045e-01
9.30930930930930906e-02,1.02610292488107019e-01
9.40940940940940967e-02,1.03146681103700247e-01
9.50950950950950891e-02,1.03705751251928713e-01
9.60960960960960953e-02,1.04286395661572745e-01
9.70970970970971015e-02,1.04887561116382075e-01
9.80980980980980938e-02,1.05508245816210489e-01
9.90990990990991000e-02,1.06147496866975097e-01
1.00100100100100092e-01,1.06804407893150988e-01
1.01101101101101098e-01,1.07478116766819939e-01
1.02102102102102105e-01,1.08167803447582506e-01
1.03103103103103097e-01,1.08872687927921832e-01
1.04104104104104103e-01,1.09592028278871101e-01
1.05105105105105109e-01,1.10325118791087834e-01
1.06106106106106102e-01,1.11071288206677651e-01
1.07107107107107108e-01,1.11829898037337186e-01
1.08108108108108114e-01,1.12600340964602127e-01
1.09109109109109106e-01,1.13382039318192324e-01
1.10110110110110113e-01,1.14174443628641362e-01
1.11111111111111105e-01,1.14977031250583908e-01
1.12112112112112111e-01,1.15789305053252023e-01
1.13113113113113117e-01,1.16610792174898698e-01
1.14114114114114110e-01,1.17441042838028392e-01
1.15115115115115116e-01,1.18279629222465918e-01
1.16116116116116108e-01,1.19126144393439728e-01
1.17117117117117114e-01,1.19980201281994700e-01
1.18118118118118121e-01,1.20841431715178887e-01
1.19119119119119113e-01,1.21709485493575006e-01
1.20120120120120119e-01,1.22584029513865211e-01
1.21121121121121125e-01,1.23464746934230485e-01
1.22122122122122118e-01,1.24351336380493796e-01
1.23123123123123124e-01,1.25243511191018037e-01
1.24124124124124130e-01,1.26140998698466428e-01
1.25125125125125136e-01,1.27043539546626200e-01
1.26126126126126115e-01,1.27950887040583799e-01
1.27127127127127121e-01,1.28862806528623197e-01
1.28128128128128127e-01,1.29779074814298845e-01
1.29129129129129133e-01,1.30699479597210261e-01
1.30130130130130139e-01,1.31623818941076748e-01
1.31131131131131118e-01,1.32551900767780034e-01
1.32132132132132124e-01,1.33483542376106740e-01
1.33133133133133130e-01,1.34418569983984715e-01
1.34134134134134136e-01,1.35356818293066894e-01
1.35135135135135143e-01,1.36298130074571283e-01
1.36136136136136121e-01,1.37242355775339331e-01
1.37137137137137127e-01,1.38189353143126109e-01
1.38138138138138133e-01,1.39138986870182751e-01
1.39139139139139140e-01,1.40091128254238945e-01
1.40140140140140146e-01,1.41045654876035459e-01
1.41141141141141152e-01,1.42002450292598809e-01
1.42142142142142131e-01,1.42961403745489990e-01
1.43143143143143137e-01,1.43922409883295854e-01
1.44144144144144143e-01,1.44885368497667782e-01
1.45145145145145149e-01,1.45850184272246663e-01
1.46146146146146155e-01,1.46816766543844984e-01
1.47147147147147134e-01,1.47785029075287233e-01
1.48148148148148140e-01,1.48754889839340293e-01
1.49149149149149146e-01,1.49726270813191426e-01
1.50150150150150152e-01,1.50699097782959895e-01
1.51151151151151159e-01,1.51673300157751878e-01
1.52152152152152165e-01,1.52648810792792688e-01
1.53153153153153143e-01,1.53625565821193549e-01
1.54154154154154149e-01,1.54603504493931260e-01
1.55155155155155156e-01,1.55582569027639478e-01
1.56156156156156162e-01,1.56562704459830893e-01
1.57157157157157168e-01,1.57543858511186935e-01
1.58158158158158146e-01,1.58525981454570447e-01
1.59159159159159153e-01,1.59509025990432735e-01
1.60160160160160159e-01,1.60492947128303171e-01
1.61161161161161165e-01,1.61477702074064172e-01
1.62162162162162171e-01,1.62463250122729219e-01
1.63163163163163150e-01,1.63449552556455269e-01
1.64164164164164156e-01,1.64436572547534104e-01
1.65165165165165162e-01,1.65424275066119258e-01
1.66166166166166168e-01,1.66412626792457802e-01
1.67167167167167174e-01,1.67401596033406541e-01
1.68168168168168153e-01,1.68391152643023956e-01
1.69169169169169159e-01,1.69381267947038727e-01
1.70170170170170165e-01,1.70371914671005292e-01
1.71171171171171171e-01,1.71363066871966979e-01
1.72172172172172178e-01,1.72354699873455114e-01
1.73173173173173184e-01,1.73346790203661477e-01
1.74174174174174162e-01,1.74339315536628764e-01
1.75175175175175168e-01,1.75332254636312468e-01
1.76176176176176175e-01,1.76325587303373166e-01
1.77177177177177181e-01,1.77319294324566445e-01
1.78178178178178187e-01,1.78313357424603580e-01
1.79179179179179165e-01,1.79307759220362295e-01
1.80180180180180172e-01,1.80302483177332745e-01
1.81181181181181178e-01,1.81297513568189850e-01
1.82182182182182184e-01,1.82292835433387868e-01
1.83183183183183190e-01,1.83288434543679019e-01
1.84184184184184196e-01,1.84284297364461475e-01
1.85185185185185175e-01,1.85280411021868097e-01
1.86186186186186181e-01,1.86276763270510626e-01
1.87187187187187187e-01,1.87273342462798309e-01
1.88188188188188193e-01,1.88270137519754688e-01
1.89189189189189200e-01,1.89267137903258748e-01
1.90190190190190178e-01,1.90264333589641399e-01
1.91191191191191184e-01,1.91261715044570957e-01
1.92192192192192191e-01,1.92259273199164443e-01
1.93193193193193197e-01,1.93256999427265208e-01
1.94194194194194203e-01,1.94254885523829968e-01
1.95195195195195181e-01,1.95252923684370722e-01
1.96196196196196188e-01,1.96251106485400423e-01
1.97197197197197194e-01,1.97249426865833161e-01
1.98198198198198200e-01,1.98247878109292397e-01
1.99199199199199206e-01,1.99246453827282899e-01
2.00200200200200185e-01,2.00245147943184154e-01
2.01201201201201191e-01,2.01243954677025272e-01
2.02202202202202197e-01,2.02242868531003012e-01
2.03203203203203203e-01,2.03241884275706913e-01
2.04204204204204209e-01,2.04240996937016778e-01
2.05205205205205216e-01,2.05240201783639969e-01
2.06206206206206194e-01,2.06239494315256983e-01
2.07207207207207200e-01,2.07238870251245683e-01
2.08208208208208206e-01,2.08238325519956191e-01
2.09209209209209213e-01,2.09237856248509130e-01
2.10210210210210219e-01,2.10237458753092077e-01
2.11211211211211197e-01,2.11237129529729589e-01
2.12212212212212203e-01,2.12236865245504031e-01
2.13213213213213210e-01,2.13236662730204724e-01
2.14214214214214216e-01,2.14236518968384887e-01
2.15215215215215222e-01,2.15236431091806346e-01
2.16216216216216228e-01,2.16236396372253198e-01
2.17217217217217207e-01,2.17236412214695945e-01
2.18218218218218213e-01,2.18236476150789921e-01
2.19219219219219219e-01,2.19236585832690345e-01
2.20220220220220225e-01,2.20236739027170086e-01
2.21221221221221231e-01,2.21236933610024056e-01
2.22222222222222210e-01,2.22237167560746990e-01
2.23223223223223216e-01,2.23237438957471085e-01
2.24224224224224222e-01,2.24237745972150598e-01
2.25225225225225228e-01,2.25238086865981596e-01
2.26226226226226235e-01,2.26238459985045492e-01
2.27227227227227213e-01,2.27238863756164894e-01
2.28228228228228219e-01,2.28239296682962223e-01
2.29229229229229226e-01,2.29239757342110190e-01
2.30230230230230232e-01,2.30240244379765840e-01
2.31231231231231238e-01,2.31240756508178352e-01
2.32232232232232216e-01,2.32241292502462504e-01
2.33233233233233223e-01,2.33241851197529854e-01
2.34234234234234229e-01,2.34242431485169406e-01
