step,x,y_scipy,y_exact,rel_err_vs_exact
0,0.00000000000000000e+00,1.00000000000000000e+00,1.00000000000000000e+00,0.000000e+00
1,4.37876610120822678e-03,8.07750081918503504e-01,8.07750046668565869e-01,4.358570e-02
2,8.75753220241645355e-03,6.54163003280428867e-01,6.54162946642852461e-01,8.644808e-02
3,1.34006432505248893e-02,5.25092840954934359e-01,5.25092763461164846e-01,1.473006e-01
4,1.80467181530471164e-02,4.23667864436875541e-01,4.23667777067540663e-01,2.057357e-01
5,2.27046011972231246e-02,3.44052874810841069e-01,3.44052784708396509e-01,2.611266e-01
6,2.73791930001974354e-02,2.81750738523587230e-01,2.81750650287111437e-01,3.120646e-01
7,3.20771784783685163e-02,2.33196178058098502e-01,2.33196094489092953e-01,3.568335e-01
8,3.68073545384557110e-02,1.95566467288033341e-01,1.95566389938564816e-01,3.935030e-01
9,4.15811224209313712e-02,1.66629379715655335e-01,1.66629309285599214e-01,4.201536e-01
10,4.64130074730478362e-02,1.44622762684229328e-01,1.44622699306271058e-01,4.352203e-01
11,5.13211702938685954e-02,1.28159031287463893e-01,1.28158974728917296e-01,4.378987e-01
12,5.63278621073771968e-02,1.16149235561694333e-01,1.16149185365027080e-01,4.284850e-01
13,6.14597825585221844e-02,1.07742430244385790e-01,1.07742385822986619e-01,4.085012e-01
14,6.67483241310542902e-02,1.02277001320372582e-01,1.02276962022111617e-01,3.805133e-01
15,7.22297332770092254e-02,9.92414278721574367e-02,9.92413930203084604e-02,3.476792e-01
16,7.79452724398981001e-02,9.82426803406730997e-02,9.82426492594689754e-02,3.131839e-01
17,8.39415117315789328e-02,9.89810339730087391e-02,9.89810060032595279e-02,2.797506e-01
18,9.02802920366371081e-02,1.01234711815553546e-01,1.01234686286831743e-01,2.497070e-01
19,9.70319655164754019e-02,1.04847864912680749e-01,1.04847841152539006e-01,2.244745e-01
20,1.04264156135407252e-01,1.09708360503298491e-01,1.09708337899569949e-01,2.041737e-01
21,1.12056972211362377e-01,1.15744339148839984e-01,1.15744317143256503e-01,1.884938e-01
22,1.20505633017302022e-01,1.22922525686836273e-01,1.22922503775055966e-01,1.768184e-01
23,1.29725725648358547e-01,1.31249946872146972e-01,1.31249924603236812e-01,1.683850e-01
24,1.39860486054370264e-01,1.40778774294507969e-01,1.40778751270400182e-01,1.623946e-01
25,1.51091284333747328e-01,1.51615022776824093e-01,1.51614998651896593e-01,1.580770e-01
26,1.63653082178013359e-01,1.63932566936104390e-01,1.63932541417718680e-01,1.547201e-01
27,1.77857919731942954e-01,1.77995308165027927e-01,1.77995281016921247e-01,1.516694e-01
28,1.94131880053203282e-01,1.94192789721787940e-01,1.94192760774133333e-01,1.483029e-01
29,2.13075686598852038e-01,2.13099328744784905e-01,2.13099297918143082e-01,1.439829e-01
30,2.35568866905936786e-01,2.35576567637583223e-01,2.35576534993256509e-01,1.379863e-01
31,2.62958891710984854e-01,2.62960875366882785e-01,2.62960841197422190e-01,1.294490e-01
32,2.97425719836514335e-01,2.97426102855622765e-01,2.97426067759046120e-01,1.176056e-01
33,3.42713726778002270e-01,3.42713798888564236e-01,3.42713762924479581e-01,1.046338e-01
34,4.05356142920002605e-01,4.05356195087560212e-01,4.05356144496899107e-01,1.244983e-01
35,4.91574040783871125e-01,4.91574317735607003e-01,4.91574040805035473e-01,5.622111e-01
36,5.57794890844869884e-01,5.57795170081818892e-01,5.57794890845641933e-01,4.997114e-01
37,6.24015740905868643e-01,6.24016022446887142e-01,6.24015740905896843e-01,4.504542e-01
38,6.95033659356378841e-01,6.95034096384302469e-01,6.95033659356379618e-01,6.278833e-01
39,7.66603350624546098e-01,7.66604062634577144e-01,7.66603350624546098e-01,9.275755e-01
40,8.33351595772215070e-01,8.33352349194873554e-01,8.33351595772215070e-01,9.030038e-01
41,8.95663350990928198e-01,8.95663879450462885e-01,8.95663350990928198e-01,5.893623e-01
42,9.58891566236707682e-01,9.58891970045454789e-01,9.58891566236707682e-01,4.206816e-01
43,1.00000000000000000e+00,1.00000006999162716e+00,1.00000000000000000e+00,6.992171e-02
