time_ns,step_index,done,mem_init,accepted,x_hex,y_hex,err_hex,h_hex,x,y,err,h,time_ns
nan,2,0,1,1,3ccccccd,3ea07374,bb92da77,3ccccccd,0.02500000037252903,0.3133808374404907,-0.00448160944506526,0.02500000037252903,nan
nan,3,0,1,1,3d4ccccd,3e085c06,ba5e3483,3ccccccd,0.05000000074505806,0.13316354155540466,-0.0008476452785544097,0.02500000037252903,nan
nan,4,0,1,1,3dcccccd,3df5f03a,3c7a3bc2,3d4ccccd,0.10000000149011612,0.12008710205554962,0.015273036435246468,0.05000000074505806,nan
nan,5,0,1,1,3e19999a,3e1e9176,3b97f29a,3d4ccccd,0.15000000596046448,0.1548517644405365,0.0046370746567845345,0.05000000074505806,nan
nan,6,0,1,1,3e4ccccd,3e4e0001,3b078906,3d4ccccd,0.20000000298023224,0.2011718899011612,0.0020681037567555904,0.05000000074505806,nan
nan,7,0,1,1,3e800000,3e80251a,3abdbdb2,3d4ccccd,0.25,0.25028306245803833,0.0014476089272648096,0.05000000074505806,nan
nan,8,0,1,1,3eb33333,3eb52fc8,3ba6bfbd,3dcccccd,0.3499999940395355,0.3538801670074463,0.0050887749530375,0.10000000149011612,nan
nan,9,0,1,1,3ee66666,3f00d11b,3d1b98aa,3dcccccd,0.44999998807907104,0.5031906962394714,0.03798738867044449,0.10000000149011612,nan
nan,11,0,1,1,3f000000,3f0349f9,3c276d93,3d4ccccd,0.5,0.5128474831581116,0.010218995623290539,0.05000000074505806,nan
nan,12,0,1,1,3f0ccccd,3f0d982b,3b5fe3f8,3d4ccccd,0.550000011920929,0.5531031489372253,0.00341629795730114,0.05000000074505806,nan
nan,13,0,1,1,3f19999a,3f19cab9,3ae86c92,3d4ccccd,0.6000000238418579,0.6007495522499084,0.0017732551787048578,0.05000000074505806,nan
nan,14,0,1,1,3f266667,3f267243,3ab46620,3d4ccccd,0.6500000357627869,0.650180995464325,0.0013763345777988434,0.05000000074505806,nan
nan,15,0,1,1,3f400001,3f40a28c,3b882487,3dcccccd,0.7500000596046448,0.7524802684783936,0.004154745023697615,0.10000000149011612,nan
nan,16,0,1,1,3f59999b,3f624dc0,3cce4cc0,3dcccccd,0.8500000834465027,0.8839988708496094,0.02518308162689209,0.10000000149011612,nan
nan,18,0,1,1,3f666668,3f688096,3be4d075,3d4ccccd,0.9000000953674316,0.9082120656967163,0.0069828578270971775,0.05000000074505806,nan
nan,19,0,1,1,3f733335,3f73b533,3b2cab73,3d4ccccd,0.9500001072883606,0.951983630657196,0.002634730888530612,0.05000000074505806,nan
nan,20,0,1,1,3f800001,3f800fb4,3acfadcd,3d4ccccd,1.0000001192092896,1.0004792213439941,0.0015844643348827958,0.05000000074505806,nan
nan,21,0,1,1,3f866667,3f866a32,3aae6b86,3d4ccccd,1.0500000715255737,1.0501158237457275,0.0013307190965861082,0.05000000074505806,nan
nan,22,0,1,1,3f933334,3f936734,3b693b0a,3dcccccd,1.1500000953674316,1.1515870094299316,0.0035588168539106846,0.10000000149011612,nan
nan,23,0,1,1,3fa00001,3fa2c8d7,3c8b6041,3dcccccd,1.2500001192092896,1.2717541456222534,0.0170136708766222,0.10000000149011612,nan
nan,25,0,1,1,3fa66667,3fa71294,3ba128c3,3d4ccccd,1.3000000715255737,1.3052544593811035,0.004918189253658056,0.05000000074505806,nan
nan,26,0,1,1,3faccccd,3facf663,3b0bfb20,3d4ccccd,1.350000023841858,1.3512691259384155,0.00213593989610672,0.05000000074505806,nan
nan,27,0,1,1,3fb33333,3fb33d3e,3abfe45c,3d4ccccd,1.399999976158142,1.4003064632415771,0.0014640199951827526,0.05000000074505806,nan
nan,28,0,1,1,3fc00000,3fc089ad,3badc6b7,3dcccccd,1.5,1.5042015314102173,0.005303229670971632,0.10000000149011612,nan
nan,29,0,1,1,3fcccccd,3fd42c1a,3d27a26b,3dcccccd,1.600000023841858,1.6575958728790283,0.04092637822031975,0.10000000149011612,nan
nan,31,0,1,1,3fd33333,3fd4fb0d,3c3398e8,3d4ccccd,1.649999976158142,1.6639114618301392,0.010961748659610748,0.05000000074505806,nan
nan,32,0,1,1,3fd99999,3fda07b3,3b6ba6eb,3d4ccccd,1.6999999284744263,1.7033599615097046,0.0035957645159214735,0.05000000074505806,nan
nan,33,0,1,1,3fdfffff,3fe01a97,3aee1a5b,3d4ccccd,1.7499998807907104,1.7508114576339722,0.0018165813526138663,0.05000000074505806,nan
nan,34,0,1,1,3fe66665,3fe66cd2,3ab5c7a7,3d4ccccd,1.7999998331069946,1.8001959323883057,0.0013868705136701465,0.05000000074505806,nan
nan,35,0,1,1,3ff33332,3ff38b47,3b8caf4b,3dcccccd,1.8999998569488525,1.902687907218933,0.004293357487767935,0.10000000149011612,nan
nan,36,0,1,1,3fffffff,40025bba,3cdddff0,3dcccccd,1.9999998807907104,2.036848545074463,0.027084320783615112,0.10000000149011612,nan
nan,38,0,1,1,40033333,4003c506,3bf49018,3d4ccccd,2.049999952316284,2.0589003562927246,0.007463466376066208,0.05000000074505806,nan
nan,39,0,1,1,40066666,4006899e,3b3440f4,3d4ccccd,2.0999999046325684,2.102149486541748,0.0027504535391926765,0.05000000074505806,nan
nan,40,0,1,1,40099999,4009a21a,3ad35410,3d4ccccd,2.1499998569488525,2.1505188941955566,0.0016123075038194656,0.05000000074505806,nan
nan,41,0,1,1,400ccccc,400cced9,3aaf479f,3d4ccccd,2.1999998092651367,2.200124979019165,0.0013372785178944468,0.05000000074505806,nan
nan,42,0,1,1,40133332,40134f4c,3b6ed812,3dcccccd,2.299999713897705,2.3017148971557617,0.00364447059109807,0.10000000149011612,nan
nan,43,0,1,1,40199998,401b1acd,3c94fb28,3dcccccd,2.3999996185302734,2.423510789871216,0.018186166882514954,0.10000000149011612,nan
nan,45,0,1,1,401ccccb,401d29d4,3baadb06,3d4ccccd,2.4499995708465576,2.4556779861450195,0.005214097909629345,0.05000000074505806,nan
nan,46,0,1,1,401ffffe,40201676,3b10a70a,3d4ccccd,2.499999523162842,2.501370906829834,0.0022072219289839268,0.05000000074505806,nan
nan,47,0,1,1,40233331,4023389e,3ac22154,3d4ccccd,2.549999475479126,2.550330638885498,0.0014810957945883274,0.05000000074505806,nan
nan,48,0,1,1,40299997,4029e3f5,3bb52850,3dcccccd,2.6499993801116943,2.65453839302063,0.005528487265110016,0.10000000149011612,nan
nan,49,0,1,1,402ffffd,4033fb74,3d3447a7,3dcccccd,2.7499992847442627,2.812222480773926,0.04401364549994469,0.10000000149011612,nan
nan,51,0,1,1,40333330,4034296b,3c406037,3d4ccccd,2.799999237060547,2.815027952194214,0.011741689406335354,0.05000000074505806,nan
nan,52,0,1,1,40366663,4036a1dc,3b77fc18,3d4ccccd,2.849999189376831,2.8536291122436523,0.003783946856856346,0.05000000074505806,nan
nan,53,0,1,1,40399996,4039a7f2,3af40aa7,3d4ccccd,2.8999991416931152,2.9008755683898926,0.001861889730207622,0.05000000074505806,nan
nan,54,0,1,1,403cccc9,403cd040,3ab72fee,3d4ccccd,2.9499990940093994,2.9502105712890625,0.0013976076152175665,0.05000000074505806,nan
nan,55,0,1,1,4043332f,404362b8,3b91584f,3dcccccd,3.0499989986419678,3.0529003143310547,0.004435576032847166,0.10000000149011612,nan
